代码,名称,收盘价,涨跌幅,换手率,龙虎榜净买额(万),市场总成交额(万),Ntransac,上榜原因,Oldid,龙虎榜卖出额(万),龙虎榜买入额(万),龙虎榜成交额(万),上榜日,净买额占总成交比,成交额占总成交比,流通市场(亿),上榜后1日,Rchange1do,上榜后2日,Rchange2do,Rchange3dc,Rchange3do,上榜后5日,Rchange5do,上榜后10日,Rchange10do,Rchange15dc,Rchange15do,Rchange20dc,Rchange20do,Rchange30dc,Rchange30do,Rchange1m,Rchange3m,Rchange6m,Rchange1y,SumCount,JGBSumCount,JGSSumCount,JGBMoney,JGSMoney,JGJMMoney,解读
300769,德方纳米,96.9,10.0011,0.364,7027,7360,80000,连续三个交易日内，涨幅偏离值累计达到20%的证券,3243431,337,7363,7700,2019-04-22,95.47,104.62,10,,,,,,,,,,,,,,,,,131.9291527,131.9291527,131.9291527,131.9291527,,,,,,,买一主买，成功率48.20%
300771,智莱科技,43.55,44.0146,0.069,643,750,20000,无价格涨跌幅限制的证券,3243424,109,751,860,2019-04-22,85.67,114.70,11,,,,,,,,,,,,,,,,,44.01455026,44.01455026,44.01455026,44.01455026,,,,,,,买一主买，成功率57.14%
600207,安彩高科,6.39,-10,8.415,2916,383968,58062092,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,3242992,31456,34372,65828,2019-04-22,0.76,17.14,44,,,,,,,,,,,,,,,,,14.51612901,38.3116883,50.35294128,-21.40221401,,,,,,,上海资金卖出，成功率44.96%
600213,亚星客车,10.77,10.0102,14.838,21636,555613,54676578,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243002,56901,78538,135439,2019-04-22,3.89,24.38,24,,,,,,,,,,,,,,,,,33.45724911,65.69230764,95.46279511,18.48184825,,,,,,,买一主买，成功率54.08%
600218,全柴动力,22.78,0.5296,37.5,-141063,3210536,138284060,有价格涨跌幅限制的日换手率达到20%的前三只证券,3242997,311279,170215,481494,2019-04-22,-4.39,15.00,84,,,,,,,,,,,,,,,,,79.93680885,243.07228901,428.53828297,275.47795023,,,,,,,西藏自治区资金买入，成功率39.04%
600281,太化股份,5.78,7.635,11.728,3221,331719,60327005,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,3242993,25232,28452,53684,2019-04-22,0.97,16.18,30,,,,,,,,,,,,,,,,,22.71762214,50.91383817,74.0963856,26.47702415,,,,,,,实力游资买入，成功率48.66%
600353,旭光股份,6.79,10.0486,6.453,38836,235235,35087403,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,3242988,15396,54232,69628,2019-04-22,16.51,29.60,37,,,,,,,,,,,,,,,,,18.29268295,46.969697,81.55080219,15.92377684,,,,,,,买一主买，成功率45.11%
600503,华丽家族,5.74,7.2897,19.138,-62108,3181332,582519278,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243000,239189,177081,416269,2019-04-22,-1.95,13.08,92,,,,,,,,,,,,,,,,,16.43002029,71.34328365,90.0662252,6.09981514,,,,,,,实力游资买入，成功率54.15%
600666,奥瑞德,4.49,-10.02,0.702,-3012,25319,5639000,有价格涨跌幅限制的日收盘价格跌幅偏离值达到7%的前三只证券,3242991,5429,2417,7846,2019-04-22,-11.90,30.99,36,,,,,,,,,,,,,,,,,5.64705884,43.91025641,58.65724381,-74.1954023,,,,,,,实力游资卖出，成功率50.29%
600758,红阳能源,8.01,10.0275,1.308,72482,603774,82488237,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243003,61758,134240,195997,2019-04-22,12.00,32.46,63,,,,,,,,,,,,,,,,,89.81042652,125.00000013,155.91054307,42.11819374,,,,,,,买一主买，成功率51.21%
600860,京城股份,10.07,10.0546,10.988,54012,351412,35382071,有价格涨跌幅限制的日收盘价格涨幅偏离值达到7%的前三只证券,3242987,33743,87756,121499,2019-04-22,15.37,34.57,32,,,,,,,,,,,,,,,,,41.43258437,97.06457925,148.0295567,71.55025563,,,,,,,买一主买，成功率47.11%
601777,力帆股份,9.36,3.3112,20.309,267,2282874,256727771,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,3242995,158453,158720,317173,2019-04-22,0.01,13.89,118,,,,,,,,,,,,,,,,,86.08349908,126.6343826,146.31578969,60.82474239,,,,,,,买一主买，成功率39.06%
603012,创力集团,9.39,8.0552,3.395,10157,195717,21608948,有价格涨跌幅限制的日价格振幅达到15%的前三只证券,3242994,38521,48678,87198,2019-04-22,5.19,44.55,60,,,,,,,,,,,,,,,,,3.52811464,16.64596271,26.72064776,41.42992665,,,,,,,实力游资买入，成功率55.00%
603068,博通集成,43.21,10.0051,0.271,7709,8120,197296,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243004,410,8120,8530,2019-04-22,94.94,105.05,15,,,,,,,,,,,,,,,,,131.93773484,131.93773484,131.93773484,131.93773484,,,,,,,上海资金买入，成功率63.90%
603317,天味食品,28.38,10,0.381,6208,6486,235662,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3243001,279,6486,6765,2019-04-22,95.70,104.30,12,,,,,,,,,,,,,,,,,110.84695394,110.84695394,110.84695394,110.84695394,,,,,,,买一主买，成功率84.00%
603519,立霸股份,15.12,6.3291,5.601,38925,353118,24781571,非ST、*ST和S证券连续三个交易日内收盘价格涨幅偏离值累计达到20%的证券,3242999,45562,84487,130048,2019-04-22,11.02,36.83,34,,,,,,,,,,,,,,,,,37.45454544,66.70341783,149.91735529,16.68329898,,,,,,,海南资金买入，成功率46.67%
